Main Series, Sub Series, Segmented Mnemonic, Title, Reporting Forms, Source, MainSeriesLink, SubSeriesLink, SegmentLink
"None","None","AAIK","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions No CROSS-PRODUCT NETTING; Exposures Where Collateral is Reflected in LGD  Risk Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAIL","Wholesale Exposure - Eligible Margin Loans, Repo-Style Transactions No CROSS-PRODUCT NETTING; Exposures Where Collateral is Reflected in LGD  Expected Credit Losses","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAIM","Wholesale Exposure - IMM Margin Period of Risk and Specific Wrong Way Risk; Holding Period or Margin Period of risk set for 20 days; Exposure Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAIN","Wholesale Exposure - IMM Margin Period of Risk and Specific Wrong Way Risk; Holding Period or Margin Period of risk set for 20 days; Risk-Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAIO","Wholesale Exposure - IMM Margin Period of Risk and Specific Wrong Way Risk; Holding Period or Margin Period of risk set for at least twice the minimum holding period that would otherwise be used; Exposure Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAIP","Wholesale Exposure - IMM Margin Period of Risk and Specific Wrong Way Risk; Holding Period or Margin Period of risk set for at least twice the minimum holding period that would otherwise be used; Risk-Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAIQ","Wholesale Exposure - IMM Margin Period of Risk and Specific Wrong Way Risk; Exposures with specific wrong-way risk for which the bank would otherwise apply the IMM; Exposure Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAIR","Wholesale Exposure - IMM Margin Period of Risk and Specific Wrong Way Risk; Exposures with specific wrong-way risk for which the bank would otherwise apply the IMM; Risk-Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","AAJX","None","Wholesale Exposure - OTC Derivatives; No CROSS-PRODUCT NETTING","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF","None"
"None","None","AAJA","Wholesale Exposure - OTC Derivatives; No CROSS-PRODUCT NETTING; Weighted Average Probability of Default (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAJB","Wholesale Exposure - OTC Derivatives; No CROSS-PRODUCT NETTING; Weighted Average Effective Maturity (Years)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAJC","Wholesale Exposure - OTC Derivatives; No CROSS-PRODUCT NETTING; Exposure at Default","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAJD","Wholesale Exposure - OTC Derivatives; No CROSS-PRODUCT NETTING; Weighted Average Loss Given Default","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAJE","Wholesale Exposure - OTC Derivatives; No CROSS-PRODUCT NETTING; Risk Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAJF","Wholesale Exposure - OTC Derivatives; No CROSS-PRODUCT NETTING; Expected Credit Losses","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAJG","Wholesale Exposure - OTC Derivatives; No CROSS-PRODUCT NETTING; Exposures Where Collateral is Reflected in LGD; Weighted Average Probability of Default (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAJH","Wholesale Exposure - OTC Derivatives; No CROSS-PRODUCT NETTING; Exposures Where Collateral is Reflected in LGD; Weighted Average Effective Maturity (Years)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAJI","Wholesale Exposure - OTC Derivatives; No CROSS-PRODUCT NETTING; Exposures Where Collateral is Reflected in LGD; Exposure at Default","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAJJ","Wholesale Exposure - OTC Derivatives; No CROSS-PRODUCT NETTING; Exposures Where Collateral is Reflected in LGD; Weighted Average Loss Given Default","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAJK","Wholesale Exposure - OTC Derivatives; No CROSS-PRODUCT NETTING; Exposures Where Collateral is Reflected in LGD; Risk Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAJL","Wholesale Exposure - OTC Derivatives; No CROSS-PRODUCT NETTING; Exposures Where Collateral is Reflected in LGD; Expected Credit Losses","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAJM","Wholesale Exposure - IMM Margin Period of Risk and Specific Wrong Way Risk; Holding Period or Margin Period of risk set for 20 days; Exposure Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAJN","Wholesale Exposure - IMM Margin Period of Risk and Specific Wrong Way Risk; Holding Period or Margin Period of risk set for 20 days; Risk-Weighted Assets,","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAJO","Wholesale Exposure - IMM Margin Period of Risk and Specific Wrong Way Risk; Holding Period or Margin Period of risk set for at least twice the minimum holding period that would otherwise be used; Exposure Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAJP","Wholesale Exposure - IMM Margin Period of Risk and Specific Wrong Way Risk; Holding Period or Margin Period of risk set for at least twice the minimum holding period that would otherwise be used; Risk-Weighted Assets,","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAJQ","Wholesale Exposure - IMM Margin Period of Risk and Specific Wrong Way Risk; Exposures with specific wrong-way risk for which the bank would otherwise apply the IMM; Exposure Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAJR","Wholesale Exposure - IMM Margin Period of Risk and Specific Wrong Way Risk; Exposures with specific wrong-way risk for which the bank would otherwise apply the IMM; Risk-Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","AAKX","None","Retail Exposure - Residential Mortgage - Closed-end First Lien Exposures","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF","None"
"None","None","AAKA","Retail Exposure - Residential Mortgage - Closed-end First Lien Exposures; Weighted Average Probability of Default (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAKB","Retail Exposure - Residential Mortgage - Closed-end First Lien Exposures; Number of Exposures","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAKC","Retail Exposure - Residential Mortgage - Closed-end First Lien Exposures; Total Balance Sheet Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAKD","Retail Exposure - Residential Mortgage - Closed-end First Lien Exposures; Total Undrawn Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAKE","Retail Exposure - Residential Mortgage - Closed-end First Lien Exposures; Exposure at Default","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAKF","Retail Exposure - Residential Mortgage - Closed-end First Lien Exposures; Weighted Average Age","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAKG","Retail Exposure - Residential Mortgage - Closed-end First Lien Exposures; Weighted Average Loss Given Default (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAKH","Retail Exposure - Residential Mortgage - Closed-end First Lien Exposures; Risk Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAKI","Retail Exposure - Residential Mortgage - Closed-end First Lien Exposures; Expected Credit Loss","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAKJ","Retail Exposure - Residential Mortgage - Closed-end First Lien Exposures; Loan to Value Less Than 70 Percent","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAKK","Retail Exposure - Residential Mortgage - Closed-end First Lien Exposures; Loan to Value At Least 70 Percent but less than 80 Percent","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAKL","Retail Exposure - Residential Mortgage - Closed-end First Lien Exposures; Loan to Value At Least 80 Percent but less than 90 Percent","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAKM","Retail Exposure - Residential Mortgage - Closed-end First Lien Exposures; Loan to Value At Least 90 Percent but less than 100 Percent","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAKN","Retail Exposure - Residential Mortgage - Closed-end First Lien Exposures; Loan to Value Greater than or equal to 100 Percent+","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAKO","Retail Exposure - Residential Mortgage - Closed-end First Lien Exposures; Loan to Value Weighted Average Bureau Score","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAKP","Retail Exposure - Residential Mortgage - Closed-end First Lien Exposures; Loan to Value EAD of Accounts with Updated LTV","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","AALX","None","Retail Exposure - Residential Mortgage - Closed-end Junior Lien Exposures","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF","None"
"None","None","AALA","Retail Exposure - Residential Mortgage - Closed-end Junior Lien Exposures; Weighted Average Probability of Default (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AALB","Retail Exposure - Residential Mortgage - Closed-end Junior Lien Exposures; Number of Exposures","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AALC","Retail Exposure - Residential Mortgage - Closed-end Junior Lien Exposures; Total Balance Sheet Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AALD","Retail Exposure - Residential Mortgage - Closed-end Junior Lien Exposures; Total Undrawn Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AALE","Retail Exposure - Residential Mortgage - Closed-end Junior Lien Exposures; Exposure at Default","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AALF","Retail Exposure - Residential Mortgage - Closed-end Junior Lien Exposures; Weighted Average Age","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AALG","Retail Exposure - Residential Mortgage - Closed-end Junior Lien Exposures; Weighted Average Loss Given Default (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AALH","Retail Exposure - Residential Mortgage - Closed-end Junior Lien Exposures; Risk Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AALI","Retail Exposure - Residential Mortgage - Closed-end Junior Lien Exposures; Expected Credit Loss","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AALJ","Retail Exposure - Residential Mortgage - Closed-end Junior Lien Exposures; Loan to Value Less Than 70 Percent","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AALK","Retail Exposure - Residential Mortgage - Closed-end Junior Lien Exposures; Loan to Value At Least 70 Percent but less than 80 Percent","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AALL","Retail Exposure - Residential Mortgage - Closed-end Junior Lien Exposures; Loan to Value At Least 80 Percent but less than 90 Percent","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AALM","Retail Exposure - Residential Mortgage - Closed-end Junior Lien Exposures; Loan to Value At Least 90 Percent but less than 100 Percent","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AALN","Retail Exposure - Residential Mortgage - Closed-end Junior Lien Exposures; Loan to Value Greater than or equal to 100 Percent+","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AALO","Retail Exposure - Residential Mortgage - Closed-end Junior Lien Exposures; Loan to Value Weighted Average Bureau Score","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AALP","Retail Exposure - Residential Mortgage - Closed-end Junior Lien Exposures; Loan to Value EAD of Accounts with Updated LTV","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","AAMX","None","Retail Exposure - Residential Mortgage - Revolving Exposures","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF","None"
"None","None","AAMA","Retail Exposure - Residential Mortgage - Revolving Exposures; Weighted Average Probability of Default (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAMB","Retail Exposure - Residential Mortgage - Revolving Exposures; Number of Exposures","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAMC","Retail Exposure - Residential Mortgage - Revolving Exposures; Total Balance Sheet Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAMD","Retail Exposure - Residential Mortgage - Revolving Exposures; Total Undrawn Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAME","Retail Exposure - Residential Mortgage - Revolving Exposures; Exposure at Default","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAMF","Retail Exposure - Residential Mortgage - Revolving Exposures; Weighted Average Age","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAMG","Retail Exposure - Residential Mortgage - Revolving Exposures; Weighted Average Loss Given Default (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAMH","Retail Exposure - Residential Mortgage - Revolving Exposures; Risk Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAMI","Retail Exposure - Residential Mortgage - Revolving Exposures; Expected Credit Loss","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAMJ","Retail Exposure - Residential Mortgage - Revolving Exposures; Loan to Value Less Than 70 Percent","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAMK","Retail Exposure - Residential Mortgage - Revolving Exposures; Loan to Value At Least 70 Percent but less than 80 Percent","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAML","Retail Exposure - Residential Mortgage - Revolving Exposures; Loan to Value At Least 80 Percent but less than 90 Percent","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAMM","Retail Exposure - Residential Mortgage - Revolving Exposures; Loan to Value At Least 90 Percent but less than 100 Percent","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAMN","Retail Exposure - Residential Mortgage - Revolving Exposures; Loan to Value Greater than or equal to 100 Percent+","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAMO","Retail Exposure - Residential Mortgage - Revolving Exposures; Loan to Value Weighted Average Bureau Score","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAMP","Retail Exposure - Residential Mortgage - Revolving Exposures; Loan to Value EAD of Accounts with Updated LTV","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","AANX","None","Retail Exposure - Residential Mortgage - Qualifying Revolving Exposures","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF","None"
"None","None","AANA","Retail Exposure - Residential Mortgage - Qualifying Revolving Exposures; Weighted Average Probability of Default (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AANB","Retail Exposure - Residential Mortgage - Qualifying Revolving Exposures; Number of Exposures","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AANC","Retail Exposure - Residential Mortgage - Qualifying Revolving Exposures; Total Balance Sheet Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAND","Retail Exposure - Residential Mortgage - Qualifying Revolving Exposures; Total Undrawn Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AANE","Retail Exposure - Residential Mortgage - Qualifying Revolving Exposures; Exposure at Default","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AANF","Retail Exposure - Residential Mortgage - Qualifying Revolving Exposures; Exposure at Default of Accounts Less than Two Years Old","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AANG","Retail Exposure - Residential Mortgage - Qualifying Revolving Exposures; Weighted Average Loss Given Default (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AANH","Retail Exposure - Residential Mortgage - Qualifying Revolving Exposures; Risk Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AANI","Retail Exposure - Residential Mortgage - Qualifying Revolving Exposures; Expected Credit Loss","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AANJ","Retail Exposure - Residential Mortgage - Qualifying Revolving Exposures; Weighted Average Bureau Score","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","AAOX","None","Retail Exposure - Residential Mortgage - Other Retail Exposures","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF","None"
"None","None","AAOA","Retail Exposure - Residential Mortgage - Other Retail Exposures; Weighted Average Probability of Default (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAOB","Retail Exposure - Residential Mortgage - Other Retail Exposures; Number of Exposures","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAOC","Retail Exposure - Residential Mortgage - Other Retail Exposures; Total Balance Sheet Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAOD","Retail Exposure - Residential Mortgage - Other Retail Exposures; Total Undrawn Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAOE","Retail Exposure - Residential Mortgage - Other Retail Exposures; Exposure at Default","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAOF","Retail Exposure - Residential Mortgage - Other Retail Exposures; Exposure at Default of Accounts Less than Two Years Old","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAOG","Retail Exposure - Residential Mortgage - Other Retail Exposures; Weighted Average Loss Given Default (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAOH","Retail Exposure - Residential Mortgage - Other Retail Exposures; Risk Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAOI","Retail Exposure - Residential Mortgage - Other Retail Exposures; Expected Credit Loss","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAOJ","Retail Exposure - Residential Mortgage - Other Retail Exposures; Weighted Average Bureau Score","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","AAPX","None","Securitization Exposures Subject to the Ratings-Based or Internal Assessment Approaches","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF","None"
"None","None","AAPA","Exposures Subject to the Ratings-based Approach (RBA)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAPB","Exposures Subject to the Internal Assessment Approach (IAA)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAPC","Risk Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAPP","Securitization Exposures Schedule","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","AAQQ","None","Cleared Transactions Schedule","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","None"
"None","AAQX","None","Securitization Detail Schedule","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF","None"
"None","None","AAQA","Memoranda Items - Exposure Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AAQB","Memoranda Items - Risk Weighted Assets","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
